timestamp,host,port,slave,address,raw_temperature,raw_humidity,temperature_c,humidity_rh,status,error
2026-08-19T16:18:00,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:01,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:02,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:03,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:04,192.168.0.7,502,1,1,288,686,28.8,68.6,OK,
2026-08-19T16:18:05,192.168.0.7,502,1,1,288,685,28.8,68.5,OK,
2026-08-19T16:18:06,192.168.0.7,502,1,1,288,686,28.8,68.6,OK,
2026-08-19T16:18:07,192.168.0.7,502,1,1,288,685,28.8,68.5,OK,
2026-08-19T16:18:09,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:10,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:11,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:12,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:13,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:14,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:15,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:16,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:17,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:18,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:19,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:20,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:21,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:22,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:23,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:24,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:25,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:26,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:27,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:28,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:29,192.168.0.7,502,1,1,288,689,28.8,68.9,OK,
2026-08-19T16:18:30,192.168.0.7,502,1,1,288,689,28.8,68.9,OK,
2026-08-19T16:18:32,192.168.0.7,502,1,1,288,689,28.8,68.9,OK,
2026-08-19T16:18:33,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:34,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:35,192.168.0.7,502,1,1,288,689,28.8,68.9,OK,
2026-08-19T16:18:36,192.168.0.7,502,1,1,288,691,28.8,69.1,OK,
2026-08-19T16:18:37,192.168.0.7,502,1,1,288,692,28.8,69.2,OK,
2026-08-19T16:18:38,192.168.0.7,502,1,1,288,694,28.8,69.4,OK,
2026-08-19T16:18:39,192.168.0.7,502,1,1,288,695,28.8,69.5,OK,
2026-08-19T16:18:40,192.168.0.7,502,1,1,288,695,28.8,69.5,OK,
2026-08-19T16:18:41,192.168.0.7,502,1,1,288,695,28.8,69.5,OK,
2026-08-19T16:18:42,192.168.0.7,502,1,1,288,693,28.8,69.3,OK,
2026-08-19T16:18:43,192.168.0.7,502,1,1,288,691,28.8,69.1,OK,
2026-08-19T16:18:44,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:45,192.168.0.7,502,1,1,288,688,28.8,68.8,OK,
2026-08-19T16:18:46,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:47,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:48,192.168.0.7,502,1,1,288,687,28.8,68.7,OK,
2026-08-19T16:18:49,192.168.0.7,502,1,1,289,688,28.9,68.8,OK,
2026-08-19T16:18:50,192.168.0.7,502,1,1,289,689,28.9,68.9,OK,
2026-08-19T16:18:51,192.168.0.7,502,1,1,288,690,28.8,69.0,OK,
2026-08-19T16:18:52,192.168.0.7,502,1,1,289,690,28.9,69.0,OK,
2026-08-19T16:18:53,192.168.0.7,502,1,1,289,690,28.9,69.0,OK,
2026-08-19T16:18:54,192.168.0.7,502,1,1,289,690,28.9,69.0,OK,
2026-08-19T16:18:55,192.168.0.7,502,1,1,289,690,28.9,69.0,OK,
2026-08-19T16:18:57,192.168.0.7,502,1,1,289,691,28.9,69.1,OK,
2026-08-19T16:18:58,192.168.0.7,502,1,1,289,692,28.9,69.2,OK,
2026-08-19T16:18:59,192.168.0.7,502,1,1,289,692,28.9,69.2,OK,
